Date,WithdrawalAmount,DayOfWeek,IsWeekend,Month,IsHolidayIndicator
2024-09-24,29862512,Tuesday,0,9,0
2024-09-25,27088071,Wednesday,0,9,0
2024-09-26,31601358,Thursday,0,9,0
2024-09-27,36682581,Friday,0,9,0
2024-09-28,44010011,Saturday,1,9,0
2024-09-29,20575540,Sunday,1,9,0
2024-09-30,63285367,Monday,0,9,0
2024-10-01,14433046,Tuesday,0,10,1
2024-10-02,36208655,Wednesday,0,10,0
2024-10-03,42168320,Thursday,0,10,0
2024-10-04,40150934,Friday,0,10,0
2024-10-05,34975726,Saturday,1,10,0
2024-10-06,16896045,Sunday,1,10,0
2024-10-07,31408008,Monday,0,10,0
2024-10-08,31554830,Tuesday,0,10,0
2024-10-09,27599102,Wednesday,0,10,0
2024-10-10,32531517,Thursday,0,10,0
2024-10-11,36828079,Friday,0,10,0
2024-10-12,37505922,Saturday,1,10,0
2024-10-13,17196302,Sunday,1,10,0
2024-10-14,34117944,Monday,0,10,0
2024-10-15,29224212,Tuesday,0,10,0
2024-10-16,31023028,Wednesday,0,10,0
2024-10-17,32882718,Thursday,0,10,0
2024-10-18,36289521,Friday,0,10,0
2024-10-19,35262661,Saturday,1,10,0
2024-10-20,19251715,Sunday,1,10,0
2024-10-21,31397751,Monday,0,10,0
2024-10-22,28496310,Tuesday,0,10,0
2024-10-23,30277890,Wednesday,0,10,0
2024-10-24,31258242,Thursday,0,10,0
2024-10-25,37190166,Friday,0,10,0
2024-10-26,35029890,Saturday,1,10,0
2024-10-27,15129663,Sunday,1,10,0
2024-10-28,29662324,Monday,0,10,0
2024-10-29,40432956,Tuesday,0,10,0
2024-10-30,38187905,Wednesday,0,10,0
2024-10-31,38135956,Thursday,0,10,0
2024-11-01,49555718,Friday,0,11,0
2024-11-02,45558992,Saturday,1,11,0
2024-11-03,21564520,Sunday,1,11,0
2024-11-04,30211009,Monday,0,11,0
2024-11-05,32376568,Tuesday,0,11,0
2024-11-06,31047923,Wednesday,0,11,0
2024-11-07,36260320,Thursday,0,11,0
2024-11-08,38588069,Friday,0,11,0
2024-11-09,35986252,Saturday,1,11,0
2024-11-10,17480056,Sunday,1,11,0
2024-11-11,33424978,Monday,0,11,0
2024-11-12,32197640,Tuesday,0,11,0
2024-11-13,32480230,Wednesday,0,11,0
2024-11-14,32182278,Thursday,0,11,0
2024-11-15,37495060,Friday,0,11,0
2024-11-16,34865977,Saturday,1,11,0
2024-11-17,18942538,Sunday,1,11,0
2024-11-18,34548337,Monday,0,11,0
2024-11-19,30743821,Tuesday,0,11,0
2024-11-20,30162542,Wednesday,0,11,0
2024-11-21,33526607,Thursday,0,11,0
2024-11-22,37918099,Friday,0,11,0
2024-11-23,37092093,Saturday,1,11,0
2024-11-24,14570110,Sunday,1,11,0
2024-11-25,31283241,Monday,0,11,0
2024-11-26,30390064,Tuesday,0,11,0
2024-11-27,27505156,Wednesday,0,11,0
2024-11-28,41080742,Thursday,0,11,0
2024-11-29,47843614,Friday,0,11,0
2024-11-30,45580598,Saturday,1,11,0
2024-12-01,24583121,Sunday,1,12,0
2024-12-02,41391338,Monday,0,12,0
2024-12-03,39006984,Tuesday,0,12,0
2024-12-04,30937609,Wednesday,0,12,0
2024-12-05,34867977,Thursday,0,12,0
2024-12-06,37138516,Friday,0,12,0
2024-12-07,34638561,Saturday,1,12,0
2024-12-08,18821858,Sunday,1,12,0
2024-12-09,32417571,Monday,0,12,0
2024-12-10,32733720,Tuesday,0,12,0
2024-12-11,31120870,Wednesday,0,12,0
2024-12-12,34489552,Thursday,0,12,0
2024-12-13,37194359,Friday,0,12,0
2024-12-14,36099545,Saturday,1,12,0
2024-12-15,17757129,Sunday,1,12,0
2024-12-16,31071515,Monday,0,12,0
2024-12-17,29587475,Tuesday,0,12,0
2024-12-18,32276137,Wednesday,0,12,0
2024-12-19,33062516,Thursday,0,12,0
2024-12-20,37356142,Friday,0,12,0
2024-12-21,36113347,Saturday,1,12,0
2024-12-22,19811891,Sunday,1,12,0
2024-12-23,29609515,Monday,0,12,0
2024-12-24,47413098,Tuesday,0,12,0
2024-12-25,15652052,Wednesday,0,12,1
2024-12-26,13971988,Thursday,0,12,1
2024-12-27,39440746,Friday,0,12,0
2024-12-28,37537036,Saturday,1,12,0
2024-12-29,21606741,Sunday,1,12,0
2024-12-30,40727503,Monday,0,12,0
